OCC_CODE,OCC_TITLE,TOT_EMP,JOBS_1000,H_MEAN,A_MEAN,A_MEDIAN
11-3071,"Transportation, Storage, and Distribution Managers",144640.00,,50.76,105580.00,98230.00
11-3110,Compensation and Benefits Managers,15330.00,,67.05,139470.00,127530.00
11-3111,Compensation and Benefits Managers,15330.00,,67.05,139470.00,127530.00
11-3120,Human Resources Managers,166530.00,,65.67,136590.00,126230.00
11-3121,Human Resources Managers,166530.00,,65.67,136590.00,126230.00
11-3130,Training and Development Managers,35830.00,,61.92,128800.00,120130.00
11-3131,Training and Development Managers,35830.00,,61.92,128800.00,120130.00
11-9000,Other Management Occupations,2725860.00,,51.55,107230.00,97630.00
11-9010,"Farmers, Ranchers, and Other Agricultural Managers",5220.00,,37.71,78440.00,73060.00
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",5220.00,,37.71,78440.00,73060.00
11-9020,Construction Managers,284750.00,,52.02,108210.00,98890.00
11-9021,Construction Managers,284750.00,,52.02,108210.00,98890.00
11-9030,Education and Childcare Administrators,537100.00,,47.73,99280.00,95010.00
11-9031,"Education and Childcare Administrators, Preschool and Daycare",56430.00,,25.87,53800.00,47310.00
11-9032,"Education Administrators, Kindergarten through Secondary",274710.00,,*,102650.00,98420.00
11-9033,"Education Administrators, Postsecondary",155990.00,,53.49,111260.00,96910.00
11-9039,"Education Administrators, All Other",49970.00,,45.54,94730.00,90560.00
11-9040,Architectural and Engineering Managers,187100.00,,76.43,158970.00,152350.00
11-9041,Architectural and Engineering Managers,187100.00,,76.43,158970.00,152350.00
11-9050,Food Service Managers,210680.00,,30.75,63970.00,59440.00
11-9051,Food Service Managers,210680.00,,30.75,63970.00,59440.00
11-9070,Entertainment and Recreation Managers,21460.00,,36.75,76430.00,63270.00
11-9071,Gambling Managers,3660.00,,42.88,89190.00,76910.00
11-9072,"Entertainment and Recreation Managers, Except Gambling",17800.00,,35.48,73810.00,62000.00
11-9080,Lodging Managers,35920.00,,32.58,67770.00,59430.00
11-9081,Lodging Managers,35920.00,,32.58,67770.00,59430.00
11-9110,Medical and Health Services Managers,436770.00,,57.61,119840.00,101340.00
11-9111,Medical and Health Services Managers,436770.00,,57.61,119840.00,101340.00
11-9120,Natural Sciences Managers,74760.00,,75.05,156110.00,137900.00
11-9121,Natural Sciences Managers,74760.00,,75.05,156110.00,137900.00
11-9130,Postmasters and Mail Superintendents,12750.00,,39.34,81820.00,80250.00
11-9131,Postmasters and Mail Superintendents,12750.00,,39.34,81820.00,80250.00
11-9140,"Property, Real Estate, and Community Association Managers",234680.00,,33.67,70030.00,59230.00
11-9141,"Property, Real Estate, and Community Association Managers",234680.00,,33.67,70030.00,59230.00
11-9150,Social and Community Service Managers,156400.00,,36.92,76790.00,74000.00
11-9151,Social and Community Service Managers,156400.00,,36.92,76790.00,74000.00
11-9160,Emergency Management Directors,10320.00,,40.77,84800.00,76730.00
11-9161,Emergency Management Directors,10320.00,,40.77,84800.00,76730.00
11-9170,Personal Service Managers,20060.00,,35.75,74360.00,60360.00
11-9171,Funeral Home Managers,12710.00,,39.86,82900.00,74000.00
11-9179,"Personal Service Managers, All Other",7350.00,,28.65,59580.00,60360.00
11-9190,Miscellaneous Managers,497890.00,,62.36,129710.00,124650.00
11-9199,"Managers, All Other",497890.00,,62.36,129710.00,124650.00
13-0000,Business and Financial Operations Occupations,9053790.00,,39.72,82610.00,76570.00
13-1000,Business Operations Specialists,6152960.00,,38.64,80380.00,76040.00
13-1010,"Agents and Business Managers of Artists, Performers, and Athletes",12480.00,,55.97,116410.00,78410.00
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",12480.00,,55.97,116410.00,78410.00
13-1020,Buyers and Purchasing Agents,439020.00,,34.88,72540.00,63470.00
13-1020,Buyers and Purchasing Agents,439020.00,,34.88,72540.00,63470.00
13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",289580.00,,34.06,70850.00,64710.00
13-1031,"Claims Adjusters, Examiners, and Investigators",278140.00,,34.11,70960.00,65080.00
13-1032,"Insurance Appraisers, Auto Damage",11430.00,,32.78,68180.00,62680.00
13-1040,Compliance Officers,334340.00,,36.45,75810.00,71650.00
13-1041,Compliance Officers,334340.00,,36.45,75810.00,71650.00
13-1050,Cost Estimators,208950.00,,35.45,73740.00,65170.00
13-1051,Cost Estimators,208950.00,,35.45,73740.00,65170.00
13-1070,Human Resources Workers,805080.00,,34.24,71210.00,62490.00
13-1071,Human Resources Specialists,740830.00,,34.00,70720.00,62290.00
13-1074,Farm Labor Contractors,440.00,,26.16,54400.00,47770.00
13-1075,Labor Relations Specialists,63810.00,,37.05,77070.00,77010.00
13-1080,Logisticians and Project Management Specialists,933180.00,,45.45,94530.00,82010.00
13-1081,Logisticians,189320.00,,38.09,79230.00,77030.00
13-1082,Project Management Specialists,743860.00,,47.32,98420.00,94500.00
13-1110,Management Analysts,768450.00,,48.33,100530.00,93000.00
13-1111,Management Analysts,768450.00,,48.33,100530.00,93000.00
13-1120,"Meeting, Convention, and Event Planners",98150.00,,27.81,57850.00,49470.00
13-1121,"Meeting, Convention, and Event Planners",98150.00,,27.81,57850.00,49470.00
13-1130,Fundraisers,82080.00,,31.19,64870.00,60660.00
13-1131,Fundraisers,82080.00,,31.19,64870.00,60660.00
13-1140,"Compensation, Benefits, and Job Analysis Specialists",87750.00,,35.49,73810.00,64120.00
13-1141,"Compensation, Benefits, and Job Analysis Specialists",87750.00,,35.49,73810.00,64120.00
13-1150,Training and Development Specialists,336030.00,,32.51,67620.00,61570.00
13-1151,Training and Development Specialists,336030.00,,32.51,67620.00,61570.00
13-1160,Market Research Analysts and Marketing Specialists,727540.00,,36.58,76080.00,63920.00
13-1161,Market Research Analysts and Marketing Specialists,727540.00,,36.58,76080.00,63920.00
13-1190,Miscellaneous Business Operations Specialists,1030330.00,,38.10,79240.00,74670.00
13-1199,"Business Operations Specialists, All Other",1030330.00,,38.10,79240.00,74670.00
13-2000,Financial Specialists,2900840.00,,41.99,87350.00,77300.00
13-2010,Accountants and Auditors,1318550.00,,40.37,83980.00,77250.00
13-2011,Accountants and Auditors,1318550.00,,40.37,83980.00,77250.00
13-2020,Property Appraisers and Assessors,58340.00,,33.68,70050.00,61340.00
13-2020,Property Appraisers and Assessors,58340.00,,33.68,70050.00,61340.00
13-2030,Budget Analysts,47440.00,,40.50,84240.00,79940.00
13-2031,Budget Analysts,47440.00,,40.50,84240.00,79940.00
13-2040,Credit Analysts,68770.00,,42.32,88030.00,77440.00
13-2041,Credit Analysts,68770.00,,42.32,88030.00,77440.00
13-2050,Financial Analysts and Advisors,716930.00,,51.13,106340.00,81730.00
13-2051,Financial and Investment Analysts,291880.00,,49.53,103020.00,91580.00
13-2052,Personal Financial Advisors,263030.00,,57.67,119960.00,94170.00
13-2053,Insurance Underwriters,107690.00,,38.43,79940.00,76390.00
13-2054,Financial Risk Specialists,54320.00,,53.18,110610.00,100000.00
13-2060,Financial Examiners,60750.00,,46.24,96180.00,81410.00
13-2061,Financial Examiners,60750.00,,46.24,96180.00,81410.00
13-2070,Credit Counselors and Loan Officers,371400.00,,37.52,78040.00,62030.00
13-2071,Credit Counselors,31230.00,,24.25,50430.00,47580.00
13-2072,Loan Officers,340170.00,,38.74,80570.00,63380.00
13-2080,"Tax Examiners, Collectors and Preparers, and Revenue Agents",135460.00,,26.80,55750.00,48900.00
13-2081,"Tax Examiners and Collectors, and Revenue Agents",52270.00,,30.38,63200.00,56780.00
13-2082,Tax Preparers,83190.00,,24.56,51080.00,46290.00
13-2090,Miscellaneous Financial Specialists,123200.00,,38.64,80370.00,73240.00
13-2099,"Financial Specialists, All Other",123200.00,,38.64,80370.00,73240.00
15-0000,Computer and Mathematical Occupations,4654750.00,,48.01,99860.00,97540.00
15-1200,Computer Occupations,4389910.00,,47.89,99620.00,97430.00
15-1210,Computer and Information Analysts,662370.00,,50.40,104840.00,99680.00
15-1211,Computer Systems Analysts,505150.00,,49.14,102210.00,99270.00
15-1212,Information Security Analysts,157220.00,,54.46,113270.00,102600.00
15-1220,Computer and Information Research Scientists,30840.00,,68.58,142650.00,131490.00
15-1221,Computer and Information Research Scientists,30840.00,,68.58,142650.00,131490.00
15-1230,Computer Support Specialists,830510.00,,29.11,60550.00,57910.00
15-1231,Computer Network Support Specialists,176200.00,,34.30,71350.00,62760.00
15-1232,Computer User Support Specialists,654310.00,,27.72,57650.00,49770.00
15-1240,Database and Network Administrators and Architects,621900.00,,49.25,102440.00,98680.00
15-1241,Computer Network Architects,168830.00,,58.01,120650.00,120520.00
15-1242,Database Administrators,85870.00,,46.42,96550.00,96710.00
15-1243,Database Architects,50440.00,,58.58,121840.00,123430.00
15-1244,Network and Computer Systems Administrators,316760.00,,43.87,91250.00,80600.00
15-1250,"Software and Web Developers, Programmers, and Testers",1874100.00,,54.68,113720.00,102930.00
15-1251,Computer Programmers,152610.00,,46.46,96650.00,93000.00
15-1252,Software Developers,1364180.00,,58.17,120990.00,120730.00
15-1253,Software Quality Assurance Analysts and Testers,190120.00,,46.97,97710.00,98220.00
15-1254,Web Developers,84820.00,,39.09,81320.00,77030.00
15-1255,Web and Digital Interface Designers,82380.00,,45.90,95460.00,79890.00
15-1290,Miscellaneous Computer Occupations,370190.00,,47.20,98180.00,95270.00
15-1299,"Computer Occupations, All Other",370190.00,,47.20,98180.00,95270.00
15-2000,Mathematical Science Occupations,264840.00,,49.90,103800.00,98680.00
15-2010,Actuaries,23040.00,,60.24,125300.00,105900.00
15-2011,Actuaries,23040.00,,60.24,125300.00,105900.00
15-2020,Mathematicians,1770.00,,54.05,112430.00,108100.00
15-2021,Mathematicians,1770.00,,54.05,112430.00,108100.00
15-2030,Operations Research Analysts,98700.00,,46.07,95830.00,82360.00
15-2031,Operations Research Analysts,98700.00,,46.07,95830.00,82360.00
15-2040,Statisticians,31370.00,,47.81,99450.00,95570.00
15-2041,Statisticians,31370.00,,47.81,99450.00,95570.00
15-2050,Data Scientists,105980.00,,52.24,108660.00,100910.00
15-2051,Data Scientists,105980.00,,52.24,108660.00,100910.00
15-2090,Miscellaneous Mathematical Science Occupations,3970.00,,37.48,77960.00,62460.00
15-2099,"Mathematical Science Occupations, All Other",3970.00,,37.48,77960.00,62460.00
17-0000,Architecture and Engineering Occupations,2436520.00,,44.10,91740.00,79840.00
17-1000,"Architects, Surveyors, and Cartographers",176840.00,,39.85,82880.00,77670.00
17-1010,"Architects, Except Naval",117830.00,,42.98,89400.00,79380.00
17-1011,"Architects, Except Landscape and Naval",100400.00,,44.19,91900.00,80180.00
17-1012,Landscape Architects,17430.00,,36.05,74980.00,67950.00
17-1020,"Surveyors, Cartographers, and Photogrammetrists",59000.00,,33.59,69870.00,61950.00
17-1021,Cartographers and Photogrammetrists,12610.00,,35.34,73510.00,68900.00
17-1022,Surveyors,46390.00,,33.12,68880.00,61600.00
17-2000,Engineers,1631080.00,,50.00,104000.00,99040.00
17-2010,Aerospace Engineers,56640.00,,59.12,122970.00,122270.00
17-2011,Aerospace Engineers,56640.00,,59.12,122970.00,122270.00
17-2020,Agricultural Engineers,1120.00,,41.99,87350.00,82640.00
17-2021,Agricultural Engineers,1120.00,,41.99,87350.00,82640.00
17-2030,Bioengineers and Biomedical Engineers,17190.00,,48.57,101020.00,97410.00
17-2031,Bioengineers and Biomedical Engineers,17190.00,,48.57,101020.00,97410.00
17-2040,Chemical Engineers,24180.00,,58.58,121840.00,105550.00
17-2041,Chemical Engineers,24180.00,,58.58,121840.00,105550.00
17-2050,Civil Engineers,304310.00,,45.91,95490.00,88050.00
17-2051,Civil Engineers,304310.00,,45.91,95490.00,88050.00
17-2060,Computer Hardware Engineers,73750.00,,65.50,136230.00,128170.00
17-2061,Computer Hardware Engineers,73750.00,,65.50,136230.00,128170.00
17-2070,Electrical and Electronics Engineers,293190.00,,53.21,110670.00,101780.00
17-2071,Electrical Engineers,186020.00,,51.87,107890.00,100420.00
17-2072,"Electronics Engineers, Except Computer",107170.00,,55.53,115490.00,104820.00
17-2080,Environmental Engineers,42660.00,,48.18,100220.00,96820.00
17-2081,Environmental Engineers,42660.00,,48.18,100220.00,96820.00
17-2110,"Industrial Engineers, Including Health and Safety",316820.00,,45.92,95520.00,95300.00
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",22870.00,,47.93,99700.00,99040.00
17-2112,Industrial Engineers,293950.00,,45.77,95200.00,95300.00
17-2120,Marine Engineers and Naval Architects,7380.00,,47.03,97820.00,93370.00
17-2121,Marine Engineers and Naval Architects,7380.00,,47.03,97820.00,93370.00
17-2130,Materials Engineers,21530.00,,49.02,101950.00,98300.00
17-2131,Materials Engineers,21530.00,,49.02,101950.00,98300.00
17-2140,Mechanical Engineers,278240.00,,46.64,97000.00,95300.00
17-2141,Mechanical Engineers,278240.00,,46.64,97000.00,95300.00
17-2150,"Mining and Geological Engineers, Including Mining Safety Engineers",7370.00,,48.29,100450.00,97090.00
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",7370.00,,48.29,100450.00,97090.00
17-2160,Nuclear Engineers,12670.00,,58.54,121760.00,120380.00
17-2161,Nuclear Engineers,12670.00,,58.54,121760.00,120380.00
17-2170,Petroleum Engineers,22100.00,,70.06,145720.00,130850.00
17-2171,Petroleum Engineers,22100.00,,70.06,145720.00,130850.00
17-2190,Miscellaneous Engineers,151940.00,,51.83,107800.00,100640.00
17-2199,"Engineers, All Other",151940.00,,51.83,107800.00,100640.00
17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",628600.00,,30.01,62420.00,60290.00
17-3010,Drafters,185200.00,,29.66,61680.00,60290.00
17-3011,Architectural and Civil Drafters,101310.00,,29.14,60620.00,60340.00
17-3012,Electrical and Electronics Drafters,20830.00,,32.26,67090.00,61510.00
17-3013,Mechanical Drafters,47760.00,,30.12,62650.00,60200.00
17-3019,"Drafters, All Other",15300.00,,28.04,58330.00,54240.00
17-3020,"Engineering Technologists and Technicians, Except Drafters",387330.00,,31.06,64600.00,60690.00
17-3021,Aerospace Engineering and Operations Technologists and Technicians,10900.00,,35.34,73510.00,73580.00
17-3022,Civil Engineering Technologists and Technicians,64170.00,,27.89,58000.00,58320.00
17-3023,Electrical and Electronic Engineering Technologists and Technicians,101450.00,,33.21,69070.00,63640.00
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,11590.00,,30.71,63880.00,60360.00
17-3025,Environmental Engineering Technologists and Technicians,14910.00,,27.21,56590.00,48390.00
17-3026,Industrial Engineering Technologists and Technicians,62030.00,,29.44,61230.00,60220.00
17-3027,Mechanical Engineering Technologists and Technicians,40180.00,,30.47,63390.00,60460.00
17-3028,Calibration Technologists and Technicians,8500.00,,30.19,62800.00,60340.00
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",73600.00,,32.83,68290.00,61950.00
17-3030,Surveying and Mapping Technicians,56070.00,,23.95,49810.00,46910.00
17-3031,Surveying and Mapping Technicians,56070.00,,23.95,49810.00,46910.00
19-0000,"Life, Physical, and Social Science Occupations",1273640.00,,38.81,80730.00,72740.00
19-1000,Life Scientists,304980.00,,44.80,93190.00,80140.00
19-1010,Agricultural and Food Scientists,31920.00,,38.45,79970.00,74160.00
19-1011,Animal Scientists,2790.00,,38.65,80390.00,65090.00
19-1012,Food Scientists and Technologists,13510.00,,40.46,84150.00,78340.00
19-1013,Soil and Plant Scientists,15610.00,,36.68,76290.00,66750.00
19-1020,Biological Scientists,117460.00,,45.18,93970.00,82680.00
19-1021,Biochemists and Biophysicists,35050.00,,54.55,113460.00,102270.00
19-1022,Microbiologists,19430.00,,42.22,87820.00,79260.00
19-1023,Zoologists and Wildlife Biologists,15930.00,,33.80,70300.00,64650.00
19-1029,"Biological Scientists, All Other",47050.00,,43.27,90010.00,82530.00
19-1030,Conservation Scientists and Foresters,32040.00,,32.73,68080.00,63750.00
19-1031,Conservation Scientists,22550.00,,32.81,68230.00,63750.00
19-1032,Foresters,9500.00,,32.56,67710.00,64110.00
19-1040,Medical Scientists,116740.00,,49.44,102830.00,90640.00
19-1041,Epidemiologists,8180.00,,41.70,86740.00,78830.00
19-1042,"Medical Scientists, Except Epidemiologists",108550.00,,50.02,104050.00,95310.00
19-1090,Miscellaneous Life Scientists,6820.00,,45.40,94430.00,81500.00
19-1099,"Life Scientists, All Other",6820.00,,45.40,94430.00,81500.00
19-2000,Physical Scientists,244340.00,,46.32,96340.00,82090.00
19-2010,Astronomers and Physicists,21950.00,,72.36,150510.00,147450.00
19-2011,Astronomers,1930.00,,67.02,139410.00,128160.00
19-2012,Physicists,20020.00,,72.88,151580.00,152430.00
19-2020,Atmospheric and Space Scientists,8520.00,,46.58,96880.00,94570.00
19-2021,Atmospheric and Space Scientists,8520.00,,46.58,96880.00,94570.00
19-2030,Chemists and Materials Scientists,87290.00,,43.43,90330.00,79760.00
19-2031,Chemists,80600.00,,42.85,89130.00,79430.00
19-2032,Materials Scientists,6690.00,,50.38,104790.00,100090.00
19-2040,Environmental Scientists and Geoscientists,106910.00,,41.82,86980.00,78340.00
19-2041,"Environmental Scientists and Specialists, Including Health",76890.00,,39.06,81240.00,76530.00
19-2042,"Geoscientists, Except Hydrologists and Geographers",23620.00,,49.78,103550.00,83680.00
19-2043,Hydrologists,6390.00,,45.57,94780.00,84030.00
19-2090,Miscellaneous Physical Scientists,19680.00,,54.43,113220.00,104100.00
19-2099,"Physical Scientists, All Other",19680.00,,54.43,113220.00,104100.00
19-3000,Social Scientists and Related Workers,246680.00,,43.66,90810.00,80890.00
19-3010,Economists,15640.00,,58.09,120830.00,105630.00
19-3011,Economists,15640.00,,58.09,120830.00,105630.00
19-3020,Survey Researchers,8850.00,,31.10,64690.00,59740.00
19-3022,Survey Researchers,8850.00,,31.10,64690.00,59740.00
19-3030,Psychologists,129620.00,,44.28,92100.00,81040.00
19-3032,Industrial-Organizational Psychologists,610.00,,54.48,113320.00,105310.00
19-3033,Clinical and Counseling Psychologists,58100.00,,47.90,99640.00,82510.00
19-3034,School Psychologists,57110.00,,39.80,82770.00,78780.00
19-3039,"Psychologists, All Other",13800.00,,47.12,98010.00,102900.00
19-3040,Sociologists,2640.00,,46.28,96260.00,92910.00
19-3041,Sociologists,2640.00,,46.28,96260.00,92910.00
19-3050,Urban and Regional Planners,38940.00,,39.09,81310.00,78500.00
19-3051,Urban and Regional Planners,38940.00,,39.09,81310.00,78500.00
19-3090,Miscellaneous Social Scientists and Related Workers,50990.00,,43.19,89840.00,82390.00
19-3091,Anthropologists and Archeologists,6650.00,,32.12,66800.00,61910.00
19-3092,Geographers,1440.00,,41.70,86740.00,85220.00
19-3093,Historians,2910.00,,34.68,72130.00,63940.00
19-3094,Political Scientists,5650.00,,57.90,120430.00,122510.00
19-3099,"Social Scientists and Related Workers, All Other",34330.00,,43.70,90900.00,84430.00
19-4000,"Life, Physical, and Social Science Technicians",349540.00,,25.91,53890.00,48370.00
19-4010,Agricultural and Food Science Technicians,25090.00,,22.23,46240.00,44700.00
19-4012,Agricultural Technicians,13560.00,,21.56,44850.00,40430.00
19-4013,Food Science Technicians,11530.00,,23.01,47870.00,46590.00
19-4020,Biological Technicians,76150.00,,24.89,51770.00,48140.00
19-4021,Biological Technicians,76150.00,,24.89,51770.00,48140.00
19-4030,Chemical Technicians,57690.00,,26.46,55040.00,48990.00
19-4031,Chemical Technicians,57690.00,,26.46,55040.00,48990.00
19-4040,Environmental Science and Geoscience Technicians,46860.00,,25.88,53830.00,47850.00
19-4042,"Environmental Science and Protection Technicians, Including Health",34110.00,,24.30,50550.00,47370.00
19-4043,"Geological Technicians, Except Hydrologic Technicians",9210.00,,28.40,59080.00,48310.00
19-4044,Hydrologic Technicians,3550.00,,34.50,71760.00,62280.00
19-4050,Nuclear Technicians,5360.00,,45.77,95200.00,99340.00
19-4051,Nuclear Technicians,5360.00,,45.77,95200.00,99340.00
19-4060,Social Science Research Assistants,28690.00,,27.13,56430.00,49720.00
19-4061,Social Science Research Assistants,28690.00,,27.13,56430.00,49720.00
19-4070,Forest and Conservation Technicians,30440.00,,20.87,43420.00,39290.00
19-4071,Forest and Conservation Technicians,30440.00,,20.87,43420.00,39290.00
19-4090,"Miscellaneous Life, Physical, and Social Science Technicians",79250.00,,27.83,57880.00,50370.00
19-4092,Forensic Science Technicians,17020.00,,32.14,66850.00,61930.00
19-4099,"Life, Physical, and Social Science Technicians, All Other",62230.00,,26.65,55420.00,49030.00
19-5000,Occupational Health and Safety Specialists and Technicians,128090.00,,36.13,75150.00,74870.00
19-5010,Occupational Health and Safety Specialists and Technicians,128090.00,,36.13,75150.00,74870.00
19-5011,Occupational Health and Safety Specialists,106340.00,,37.86,78740.00,77560.00
19-5012,Occupational Health and Safety Technicians,21750.00,,27.67,57560.00,51120.00
21-0000,Community and Social Service Occupations,2239680.00,,25.94,53960.00,48410.00
21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",2157410.00,,25.94,53950.00,48400.00
21-1010,Counselors,781830.00,,27.12,56410.00,49360.00
21-1012,"Educational, Guidance, and Career Counselors and Advisors",296370.00,,30.33,63090.00,60510.00
21-1013,Marriage and Family Therapists,54800.00,,28.69,59660.00,49880.00
21-1015,Rehabilitation Counselors,90310.00,,21.51,44740.00,38560.00
21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",310880.00,,25.72,53490.00,48520.00
21-1019,"Counselors, All Other",29480.00,,23.91,49730.00,45160.00
21-1020,Social Workers,677440.00,,27.83,57880.00,50390.00
21-1021,"Child, Family, and School Social Workers",340050.00,,26.39,54880.00,49150.00
21-1022,Healthcare Social Workers,173860.00,,29.96,62310.00,60840.00
21-1023,Mental Health and Substance Abuse Social Workers,113810.00,,27.79,57800.00,49130.00
21-1029,"Social Workers, All Other",49730.00,,30.29,63010.00,61190.00
21-1090,Miscellaneous Community and Social Service Specialists,698130.00,,22.78,47380.00,42490.00
21-1091,Health Education Specialists,55830.00,,31.22,64930.00,60600.00
21-1092,Probation Officers and Correctional Treatment Specialists,92140.00,,30.43,63290.00,60250.00
21-1093,Social and Human Service Assistants,398380.00,,19.45,40460.00,37610.00
21-1094,Community Health Workers,61010.00,,22.97,47780.00,46590.00
21-1099,"Community and Social Service Specialists, All Other",90770.00,,24.28,50510.00,47390.00
21-2000,Religious Workers,82280.00,,26.13,54340.00,48560.00
21-2010,Clergy,50790.00,,27.51,57230.00,49720.00
21-2011,Clergy,50790.00,,27.51,57230.00,49720.00
21-2020,"Directors, Religious Activities and Education",21000.00,,25.42,52880.00,46980.00
21-2021,"Directors, Religious Activities and Education",21000.00,,25.42,52880.00,46980.00
21-2090,Miscellaneous Religious Workers,10490.00,,20.81,43290.00,37500.00
21-2099,"Religious Workers, All Other",10490.00,,20.81,43290.00,37500.00
23-0000,Legal Occupations,1178140.00,,54.38,113100.00,82430.00
23-1000,"Lawyers, Judges, and Related Workers",744760.00,,69.46,144470.00,127540.00
23-1010,Lawyers and Judicial Law Clerks,695810.00,,70.30,146220.00,127690.00
23-1011,Lawyers,681010.00,,71.17,148030.00,127990.00
23-1012,Judicial Law Clerks,14800.00,,30.16,62730.00,50750.00
23-1020,"Judges, Magistrates, and Other Judicial Workers",48950.00,,57.54,119690.00,110550.00
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",13840.00,,50.08,104160.00,102550.00
23-1022,"Arbitrators, Mediators, and Conciliators",7320.00,,29.98,62350.00,49410.00
23-1023,"Judges, Magistrate Judges, and Magistrates",27790.00,,68.52,142520.00,148030.00
23-2000,Legal Support Workers,433380.00,,28.46,59190.00,54860.00
23-2010,Paralegals and Legal Assistants,336250.00,,28.04,58330.00,56230.00
23-2011,Paralegals and Legal Assistants,336250.00,,28.04,58330.00,56230.00
23-2090,Miscellaneous Legal Support Workers,97130.00,,29.89,62170.00,51550.00
23-2093,"Title Examiners, Abstractors, and Searchers",51040.00,,25.19,52390.00,47310.00
23-2099,"Legal Support Workers, All Other",46090.00,,35.10,73000.00,59790.00
25-0000,Educational Instruction and Library Occupations,8191930.00,,29.88,62140.00,57220.00
25-1000,Postsecondary Teachers,1340560.00,,*,95200.00,78300.00
25-1010,"Business Teachers, Postsecondary",79640.00,,*,105720.00,94360.00
25-1011,"Business Teachers, Postsecondary",79640.00,,*,105720.00,94360.00
25-1020,"Math and Computer Science Teachers, Postsecondary",81740.00,,*,88730.00,77630.00
25-1021,"Computer Science Teachers, Postsecondary",37600.00,,*,89610.00,77910.00
25-1022,"Mathematical Science Teachers, Postsecondary",44140.00,,*,87980.00,77580.00
25-1030,"Engineering and Architecture Teachers, Postsecondary",41380.00,,*,113150.00,103340.00
25-1031,"Architecture Teachers, Postsecondary",5950.00,,*,98600.00,95160.00
25-1032,"Engineering Teachers, Postsecondary",35440.00,,*,115590.00,104940.00
25-1040,"Life Sciences Teachers, Postsecondary",57440.00,,*,98430.00,81980.00
25-1041,"Agricultural Sciences Teachers, Postsecondary",8570.00,,*,97520.00,95910.00
25-1042,"Biological Science Teachers, Postsecondary",47690.00,,*,98710.00,81440.00
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",1180.00,,*,93510.00,82330.00
25-1050,"Physical Sciences Teachers, Postsecondary",48420.00,,*,97110.00,81980.00
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",10250.00,,*,102840.00,98070.00
25-1052,"Chemistry Teachers, Postsecondary",20260.00,,*,94060.00,79410.00
25-1053,"Environmental Science Teachers, Postsecondary",5440.00,,*,92210.00,81980.00
